CRIME_TYPE,HUNDRED_BLOCK,ROAD_NAME,MONTH,YEAR,Latitude,Longitude
Fatal/Injury Collision,10200,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,13400,72ND AVE     ,1,2014,0,0
Fatal/Injury Collision,13400,72ND AVE     ,1,2014,0,0
Fatal/Injury Collision,15100,56TH AVE     ,1,2014,0,0
Fatal/Injury Collision,7400,120TH ST     ,1,2014,0,0
Fatal/Injury Collision,10000,152ND ST     ,1,2014,0,0
Fatal/Injury Collision,7500,130TH ST     ,1,2014,0,0
Fatal/Injury Collision,7300,137TH ST     ,1,2014,0,0
Fatal/Injury Collision,1700,152ND ST     ,1,2014,0,0
Fatal/Injury Collision,14300,57TH AVE     ,1,2014,0,0
Fatal/Injury Collision,13500,CRESTVIEW DR     ,1,2014,0,0
Fatal/Injury Collision,12200,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,15200,104TH AVE     ,1,2014,0,0
Fatal/Injury Collision,10100,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,5900,136TH ST     ,1,2014,0,0
Fatal/Injury Collision,5900,176A ST     ,1,2014,0,0
Fatal/Injury Collision,14900,32ND AVE     ,1,2014,0,0
Fatal/Injury Collision,8000,152ND ST     ,1,2014,0,0
Fatal/Injury Collision,16000,FRASER HWY     ,1,2014,0,0
Fatal/Injury Collision,10700,SCOTT RD     ,1,2014,0,0
Fatal/Injury Collision,9200,176TH ST     ,1,2014,0,0
Fatal/Injury Collision,15700,24TH AVE     ,1,2014,0,0
Fatal/Injury Collision,12500,GROVE CRES     ,1,2014,0,0
Fatal/Injury Collision,14000,FRASER HWY     ,1,2014,0,0
Fatal/Injury Collision,4600,152ND ST     ,1,2014,0,0
Fatal/Injury Collision,12400,82ND AVE     ,1,2014,0,0
Fatal/Injury Collision,14500,84TH AVE     ,1,2014,0,0
Fatal/Injury Collision,7400,120TH ST     ,1,2014,0,0
Fatal/Injury Collision,12900,116TH AVE     ,1,2014,0,0
Fatal/Injury Collision,10300,152ND ST     ,1,2014,0,0
Fatal/Injury Collision,3000,152ND ST     ,1,2014,0,0
Fatal/Injury Collision,7200,138TH ST     ,1,2014,0,0
Fatal/Injury Collision,7000,144A ST     ,1,2014,0,0
Fatal/Injury Collision,10000,WHALLEY BLVD     ,1,2014,0,0
Fatal/Injury Collision,13500,81ST AVE     ,1,2014,0,0
Fatal/Injury Collision,18800,96TH AVE     ,1,2014,0,0
Fatal/Injury Collision,13700,72ND AVE     ,1,2014,0,0
Fatal/Injury Collision,16400,64TH AVE     ,1,2014,0,0
Fatal/Injury Collision,7000,120TH ST     ,1,2014,0,0
Fatal/Injury Collision,10300,128A ST     ,1,2014,0,0
Fatal/Injury Collision,12800,96TH AVE     ,1,2014,0,0
Fatal/Injury Collision,7400,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,14500,100TH AVE     ,1,2014,0,0
Fatal/Injury Collision,12800,76TH AVE     ,1,2014,0,0
Fatal/Injury Collision,13700,88TH AVE     ,1,2014,0,0
Fatal/Injury Collision,7800,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,16000,110TH AVE     ,1,2014,0,0
Fatal/Injury Collision,7700,168TH ST     ,1,2014,0,0
Fatal/Injury Collision,13800,64TH AVE     ,1,2014,0,0
Fatal/Injury Collision,14000,116TH AVE     ,1,2014,0,0
Fatal/Injury Collision,12200,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,3600,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,6000,176TH ST     ,1,2014,0,0
Fatal/Injury Collision,12600,72ND AVE     ,1,2014,0,0
Fatal/Injury Collision,8700,161ST ST     ,1,2014,0,0
Fatal/Injury Collision,13800,100TH AVE     ,1,2014,0,0
Fatal/Injury Collision,13300,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,13500,77TH AVE     ,1,2014,0,0
Fatal/Injury Collision,10300,124A ST     ,1,2014,0,0
Fatal/Injury Collision,19000,72ND AVE     ,1,2014,0,0
Fatal/Injury Collision,10600,150TH ST     ,1,2014,0,0
Fatal/Injury Collision,3000,188TH ST     ,1,2014,0,0
Fatal/Injury Collision,9100,120TH ST     ,1,2014,0,0
Fatal/Injury Collision,14600,81A AVE     ,1,2014,0,0
Fatal/Injury Collision,2600,176TH ST     ,1,2014,0,0
Fatal/Injury Collision,3400,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,6400,194TH ST     ,1,2014,0,0
Fatal/Injury Collision,12200,98TH AVE     ,1,2014,0,0
Fatal/Injury Collision,19500,LANGLEY BPS     ,1,2014,0,0
Fatal/Injury Collision,10200,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,6100,167B ST     ,1,2014,0,0
Fatal/Injury Collision,10000,156TH ST     ,1,2014,0,0
Fatal/Injury Collision,14500,80B AVE     ,1,2014,0,0
Fatal/Injury Collision,13000,95TH AVE     ,1,2014,0,0
Fatal/Injury Collision,100,184TH ST     ,1,2014,0,0
Fatal/Injury Collision,,108TH AVE / 144TH ST   ,1,2014,0,0
Fatal/Injury Collision,,176TH ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,SCOTT RD / 104TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,184TH ST / 73RD AVE   ,1,2014,0,0
Fatal/Injury Collision,,32ND AVE / 152ND ST   ,1,2014,0,0
Fatal/Injury Collision,,56TH AVE / 168TH ST   ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 81ST AVE  ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 81ST AVE  ,1,2014,0,0
Fatal/Injury Collision,,168TH ST / 21ST AVE   ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 104TH AVE  ,1,2014,0,0
Fatal/Injury Collision,,76TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,176TH ST / 16TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / 156TH ST   ,1,2014,0,0
Fatal/Injury Collision,,66TH AVE / 122ND ST   ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,158TH ST / 108TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,SCOTT RD OFRP / KING GEORGE BLVD ,1,2014,0,0
Fatal/Injury Collision,,105A AVE / 133RD ST   ,1,2014,0,0
Fatal/Injury Collision,,149TH ST / 81B AVE   ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / 146TH ST   ,1,2014,0,0
Fatal/Injury Collision,,116TH AVE / INDUSTRIAL RD   ,1,2014,0,0
Fatal/Injury Collision,,116TH AVE / INDUSTRIAL RD   ,1,2014,0,0
Fatal/Injury Collision,,116A AVE / SURREY RD   ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 88TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,184TH ST / 54TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,101ST AVE / 152ND ST   ,1,2014,0,0
Fatal/Injury Collision,,192ND ST / 56TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,184TH ST / 72ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / NORDEL WAY   ,1,2014,0,0
Fatal/Injury Collision,,108TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,128TH ST / 84TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,103A AVE / 132ND ST   ,1,2014,0,0
Fatal/Injury Collision,,132ND ST / 76TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,120TH ST / 58TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,100TH AVE / 149TH ST   ,1,2014,0,0
Fatal/Injury Collision,,100TH AVE / OLD YALE RD  ,1,2014,0,0
Fatal/Injury Collision,,140TH ST / 86A AVE   ,1,2014,0,0
Fatal/Injury Collision,,84TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,104TH AVE / SCOTT RD   ,1,2014,0,0
Fatal/Injury Collision,,90TH AVE / 140TH ST   ,1,2014,0,0
Fatal/Injury Collision,,153A ST / 96TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,72ND AVE / 148TH ST   ,1,2014,0,0
Fatal/Injury Collision,,186TH ST / 65TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,186TH ST / 65TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,132ND ST / 78TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,32ND AVE / 176TH ST   ,1,2014,0,0
Fatal/Injury Collision,,76TH AVE / 138TH ST   ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / 84TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,56TH AVE / 192ND ST   ,1,2014,0,0
Fatal/Injury Collision,,176TH ST / 66A AVE   ,1,2014,0,0
Fatal/Injury Collision,,60TH AVE / 169TH ST   ,1,2014,0,0
Fatal/Injury Collision,,132ND ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,120A ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,110TH AVE / 164TH ST   ,1,2014,0,0
Fatal/Injury Collision,,168TH ST / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,140TH ST / 88TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,144TH ST / 72ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 140TH ST   ,1,2014,0,0
Fatal/Injury Collision,,188TH ST / 24TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,26TH AVE / 140TH ST   ,1,2014,0,0
Fatal/Injury Collision,,60TH AVE / 176A ST   ,1,2014,0,0
Fatal/Injury Collision,,127TH ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,68TH AVE / 126TH ST   ,1,2014,0,0
Fatal/Injury Collision,,96TH AVE / 188TH ST   ,1,2014,0,0
Fatal/Injury Collision,,76TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 96TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 108TH AVE  ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / 56TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,132ND ST / 68TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,176TH ST / 64TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,104TH AVE / 140TH ST   ,1,2014,0,0
Fatal/Injury Collision,,148TH ST / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,140TH ST / 96TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,160TH ST / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,152ND ST OFRP / HWY 99  ,1,2014,0,0
Fatal/Injury Collision,,120TH ST / 72ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,168TH ST / 88TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,176TH ST / 16TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,72ND AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,132ND ST / 92B AVE   ,1,2014,0,0
Fatal/Injury Collision,,140TH ST / 84TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,194TH ST / 64TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,94A AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,HWY 99 / 32ND AVE ONRP  ,1,2014,0,0
Fatal/Injury Collision,,103RD AVE / WHALLEY BLVD   ,1,2014,0,0
Fatal/Injury Collision,,72ND AVE / 124TH ST   ,1,2014,0,0
Fatal/Injury Collision,,60TH AVE / 146TH ST   ,1,2014,0,0
Fatal/Injury Collision,,60TH AVE / 169TH ST   ,1,2014,0,0
Fatal/Injury Collision,,140TH ST / 96TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,120TH ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,104TH AVE / 139TH ST   ,1,2014,0,0
Fatal/Injury Collision,,128TH ST / 78TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,18TH AVE / 152ND ST   ,1,2014,0,0
Fatal/Injury Collision,,80TH AVE / 120TH ST   ,1,2014,0,0
Fatal/Injury Collision,,195TH ST / 96TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,76TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 88TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,72ND AVE / HALL RD   ,1,2014,0,0
Fatal/Injury Collision,,156TH ST / 88TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,179TH ST / 60TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / 146TH ST   ,1,2014,0,0
Fatal/Injury Collision,,153RD ST / 100TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,164TH ST / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,134TH ST / 92ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,64TH AVE / 152ND ST   ,1,2014,0,0
Fatal/Injury Collision,,108TH AVE / ORIOLE DR   ,1,2014,0,0
Fatal/Injury Collision,,72ND AVE / 148TH ST   ,1,2014,0,0
Fatal/Injury Collision,,172B ST / 58TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,64TH AVE / 126TH ST   ,1,2014,0,0
Fatal/Injury Collision,,72ND AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 166TH ST   ,1,2014,0,0
Fatal/Injury Collision,,8TH AVE / 172ND ST   ,1,2014,0,0
Fatal/Injury Collision,,176TH ST / 56TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,98TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,146TH ST / 90TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 96TH AVE  ,1,2014,0,0
Fatal/Injury Collision,,85TH AVE / 128TH ST   ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / CRESCENT RD  ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 140TH ST   ,1,2014,0,0
Fatal/Injury Collision,,SOUTH FRASER PERIMETER RD / 104TH AVE ,1,2014,0,0
Fatal/Injury Collision,,128TH ST / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,192ND ST / 32ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 73RD AVE  ,1,2014,0,0
Fatal/Injury Collision,,104TH AVE / 150TH ST   ,1,2014,0,0
Fatal/Injury Collision,,80TH AVE / 124TH ST   ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 184TH ST   ,1,2014,0,0
Fatal/Injury Collision,,144TH ST / 56TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,176TH ST / GOLDEN EARS WAY  ,1,2014,0,0
Fatal/Injury Collision,,156TH ST / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,137TH ST / 68TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,85TH AVE / VENTURE WAY   ,1,2014,0,0
Fatal/Injury Collision,,128TH ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,96TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,144TH ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,76TH AVE / 128TH ST   ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / 102A AVE   ,1,2014,0,0
Fatal/Injury Collision,,100TH AVE / SCOTT RD   ,1,2014,0,0
Fatal/Injury Collision,,85TH AVE / 128TH ST   ,1,2014,0,0
Fatal/Injury Collision,,84TH AVE / 130TH ST   ,1,2014,0,0
Fatal/Injury Collision,,99TH AVE / 120TH ST   ,1,2014,0,0
Fatal/Injury Collision,,128TH ST / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / 128TH ST   ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 84TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,124TH ST / 24TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,LAUDER DR / 88TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,130TH ST / QUEEN MARY BLVD  ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 96TH AVE  ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / 132ND ST   ,1,2014,0,0
Fatal/Injury Collision,,144TH ST / 68TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,16TH AVE / 160TH ST   ,1,2014,0,0
Fatal/Injury Collision,,124TH ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 94A AVE  ,1,2014,0,0
Fatal/Injury Collision,,120TH ST / 68TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,96TH AVE / 120TH ST   ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 164TH ST   ,1,2014,0,0
Fatal/Injury Collision,,104TH AVE / SOUTH FRASER PERIMETER RD ,1,2014,0,0
Fatal/Injury Collision,,128A ST / 100TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,72ND AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,160TH ST / 24TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,176TH ST / 56TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / 64TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 152ND ST   ,1,2014,0,0
Fatal/Injury Collision,,120TH ST / 68TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,72ND AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,140TH ST / 108TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 24TH AVE  ,1,2014,0,0
Fatal/Injury Collision,,128TH ST / 85TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 104TH AVE  ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / 142A ST   ,1,2014,0,0
Fatal/Injury Collision,,149TH ST / 93A AVE   ,1,2014,0,0
Fatal/Injury Collision,,164TH ST / 32ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,60TH AVE / 184TH ST   ,1,2014,0,0
Fatal/Injury Collision,,140TH ST / 77A AVE   ,1,2014,0,0
Fatal/Injury Collision,,140TH ST / 77A AVE   ,1,2014,0,0
Fatal/Injury Collision,,24TH AVE / 144TH ST   ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 64TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,84TH AVE / 152ND ST   ,1,2014,0,0
Fatal/Injury Collision,,148TH ST / 72ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,140B ST / 104TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,140TH ST / 88TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,168TH ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / MALL ACCESS   ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / 128TH ST   ,1,2014,0,0
Fatal/Injury Collision,,128TH ST / 72ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,72ND AVE / 148TH ST   ,1,2014,0,0
Fatal/Injury Collision,,82ND AVE / 128TH ST   ,1,2014,0,0
Fatal/Injury Collision,,84TH AVE / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,108TH AVE / 132ND ST   ,1,2014,0,0
Fatal/Injury Collision,,132ND ST / 76TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,176TH ST / 60TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / 20TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,67TH AVE / 194TH ST   ,1,2014,0,0
Fatal/Injury Collision,,100TH AVE / 148TH ST   ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 168TH ST   ,1,2014,0,0
Fatal/Injury Collision,,94TH AVE / 148A ST   ,1,2014,0,0
Fatal/Injury Collision,,132ND ST / 92ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,108TH AVE / WHALLEY BLVD   ,1,2014,0,0
Fatal/Injury Collision,,108TH AVE / 148TH ST   ,1,2014,0,0
Fatal/Injury Collision,,180TH ST / 64TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,76TH AVE / 144TH ST   ,1,2014,0,0
Fatal/Injury Collision,,104TH AVE / UNIVERSITY DR   ,1,2014,0,0
Fatal/Injury Collision,,120TH ST / 96TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,FLEETWOOD WAY / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,101ST AVE / MALL ACCESS   ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / 36TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,68TH AVE / 120TH ST   ,1,2014,0,0
Fatal/Injury Collision,,76TH AVE / 132ND ST   ,1,2014,0,0
Fatal/Injury Collision,,24TH AVE / CROYDON DR   ,1,2014,0,0
Fatal/Injury Collision,,130TH ST / 96TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,68A AVE / 188TH ST   ,1,2014,0,0
Fatal/Injury Collision,,68A AVE / 188TH ST   ,1,2014,0,0
Fatal/Injury Collision,,134TH ST / 96TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,150TH ST / 72ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,160TH ST / 24TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,68TH AVE / 120TH ST   ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / 36TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,100TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,16TH AVE / 177TH ST   ,1,2014,0,0
Fatal/Injury Collision,,192ND ST / 88TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,122ND ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / 168TH ST   ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / 168TH ST   ,1,2014,0,0
Fatal/Injury Collision,,56TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,56TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,108TH AVE / 146TH ST   ,1,2014,0,0
Fatal/Injury Collision,,132ND ST / 103A AVE   ,1,2014,0,0
Fatal/Injury Collision,,72ND AVE / 132ND ST   ,1,2014,0,0
Fatal/Injury Collision,,GOLDEN EARS WAY / 176TH ST  ,1,2014,0,0
Fatal/Injury Collision,,144TH ST / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / 62A AVE   ,1,2014,0,0
Fatal/Injury Collision,,128TH ST / 96TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,166TH ST / 64TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,105A AVE / WHALLEY BLVD   ,1,2014,0,0
Fatal/Injury Collision,,156TH ST / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,124TH ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,124TH ST / 80TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,176A ST / 60TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,80TH AVE / 192ND ST   ,1,2014,0,0
Fatal/Injury Collision,,160TH ST / 32ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,132ND ST / OLD YALE RD  ,1,2014,0,0
Fatal/Injury Collision,,FRASER HWY / FLEETWOOD WAY   ,1,2014,0,0
Fatal/Injury Collision,,96TH AVE / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,96TH AVE / 128TH ST   ,1,2014,0,0
Fatal/Injury Collision,,194TH ST / 64TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,114TH AVE / 126A ST   ,1,2014,0,0
Fatal/Injury Collision,,144TH ST / 72ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,KING GEORGE BLVD / 108TH AVE  ,1,2014,0,0
Fatal/Injury Collision,,148TH ST / 76TH AVE   ,1,2014,0,0
Fatal/Injury Collision,,104TH AVE / 152ND ST   ,1,2014,0,0
Fatal/Injury Collision,,100TH AVE / 154TH ST   ,1,2014,0,0
Fatal/Injury Collision,,88TH AVE / FRASER HWY   ,1,2014,0,0
Fatal/Injury Collision,,100TH AVE / 152ND ST   ,1,2014,0,0
Fatal/Injury Collision,,156TH ST / 82ND AVE   ,1,2014,0,0
Fatal/Injury Collision,,152ND ST / FERGUSON DVRS   ,1,2014,0,0
Fatal/Injury Collision,,76TH AVE / KING GEORGE BLVD  ,1,2014,0,0
Fatal/Injury Collision,,82ND AVE / 128TH ST   ,1,2014,0,0
Fatal/Injury Collision,,150TH ST / 68A AVE   ,1,2014,0,0
Fatal/Injury Collision,,150TH ST / 104TH AVE   ,1,2014,0,0
